Rec no.,TA ID,Year of Publication,Process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
61,TA033,2001/02,MTA,Irinotecan in combination with 5-fluorouracil and folinic acid (5FU/FA) (1st-line),Pharmaceutical,Colorectal cancer (advanced),Not Recommended,"Guidance replaced by TA93. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
62,TA033,2001/02,MTA,Irinotecan monotherapy (2nd line),Pharmaceutical,Colorectal cancer (advanced),Recommended,Guidance replaced by TA93. Recommendation in line with marketing authorisation.
63,TA033,2001/02,MTA,Oxaliplatin in combination with 5-fluorouracil and folinic acid (5FU/FA) (1st-line),Pharmaceutical,Colorectal cancer (advanced),Optimised,Guidance has been replaced by TA93. Optimised recommendation for use in specific circumstances in patients with advanced colorectal cancer in patients with metastases that are confined solely to the liver and may become resectable (‘down staged’) following treatment. 
64,TA033,2001/02,MTA,Raltitrexed,Pharmaceutical,Colorectal cancer (advanced),Only in Research,"Guidance replaced by TA93. At the time of appraisal, the Committee concluded from the available evidence that the need for rigorous monitoring and possibility of increased mortality outweigh any benefits of convenience of administration with raltitrexed. Therefore the technology was only recommended for use in the context of appropriately designed clinical trials."
65,TA034,2001/02,MTA,Trastuzumab in combination with paclitaxel,Pharmaceutical,Breast cancer,Recommended,Recommendation in line with marketing authorisation.
66,TA034,2001/02,MTA,Trastuzumab monotherapy,Pharmaceutical,Breast cancer,Recommended,Recommendation in line with marketing authorisation.
70,TA037,2001/02,MTA,Rituximab (3rd and subsequent lines of treatment),Pharmaceutical,Lymphoma (follicular non-Hodgkin's) ,Not recommended,"Guidance replaced by TA137.  At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
71,TA037,2001/02,MTA,Rituximab (last line),Pharmaceutical,Lymphoma (follicular non-Hodgkin's) ,Only in Research,"Guidance replaced by TA137. At the time of appraisal, the technology was only recommended for last-line therapy in the context of the construction of a case series of past and new patients, to determine with more certainty its effectiveness in this indication."
89,TA045,2002/03,MTA,Pegylated liposomal doxorubicin hydrochloride (PLDH) ,Pharmaceutical,Ovarian cancer (advanced),Recommended,Guidance has been replaced by TA91. Recommendation in line with marketing authorisation.
98,TA050,2002/03,MTA,Imatinib,Pharmaceutical,Leukaemia (CML),Recommended,Guidance has been replaced by TA70. Recommendation in line with marketing authorisation.
111,TA054,2002/03,MTA,Vinorelbine combination therapies,Pharmaceutical,Breast cancer,Not Recommended,"Guidance has been incorporated in CG81. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
112,TA054,2002/03,MTA,Vinorelbine monotherapy,Pharmaceutical,Breast cancer,Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
113,TA055,2002/03,MTA,Paclitaxel (1st line),Pharmaceutical,Ovarian cancer ,Recommended,Update of guidance TA3. Recommendation in line with marketing authorisation.
114,TA055,2002/03,MTA,Paclitaxel (2nd line),Pharmaceutical,Ovarian cancer ,Recommended,"Update of guidance TA3. Recommendation in line with clinical practice. In view of the limited evidence available on the clinical effectiveness of paclitaxel as a second-line treatment, the Committee concluded that paclitaxel should be considered as an option for second-line treatment only for women who do not receive it as part of their first-line therapy. For such women, it should be offered alongside other drugs that are licensed for second-lien treatment of ovarian cancer."
123,TA061,2003/04,MTA,Capecitabine,Pharmaceutical,Colorectal cancer,Recommended,Recommendation in line with marketing authorisation.
124,TA061,2003/04,MTA,Tegafur with uracil,Pharmaceutical,Colorectal cancer,Recommended,Recommendation in line with marketing authorisation.
125,TA062,2003/04,MTA,Capecitabine,Pharmaceutical,Breast cancer (locally advanced or metastatic),Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
126,TA062,2003/04,MTA,"Capecitabine, plus docetaxel",Pharmaceutical,Breast cancer (locally advanced or metastatic),Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
132,TA065,2003/04,MTA,Rituximab,Pharmaceutical,Non-Hodgkin's lymphoma - stage II - IV,Recommended,Recommendation in line with marketing authorisation.
133,TA065,2003/04,MTA,Rituximab,Pharmaceutical,Non-Hodgkin's lymphoma - stage I,Only in Research,"At the time of appraisal, the clinical and cost-effectiveness of rituximab in patients with localised (stage 1) disease had not been established. Therefore use in these circumstances was only recommended as part of ongoing or new clinical studies.  "
139,TA069,2003/04,MTA,Liquid Based Cytology (LBC),Other therapeutic therapies,Cervical cancer,Recommended,Update of guidance TA5. Moved to static list in 2007. Recommendation in line with clinical practice.
140,TA070,2003/04,MTA,Imatinib,Pharmaceutical,Leukaemia (CML),Recommended,Update of guidance TA50. Guidance has been partially updated by TA241 and TA251. Recommendation in line with marketing authorisation.
194,TA086,2004/05,MTA,Imatinib,Pharmaceutical,"Gastrointestinal stromal tumours (unresectable, metastatic)",Recommended,Guidance has been partially updated by TA209. Recommendation in line with marketing authorisation.
204,TA091,2005/06,MTA,Pegylated liposomal doxorubicin hydrochloride (PLDH),Pharmaceutical,Ovarian cancer (advanced),Recommended,Recommendation in line with marketing authorisation. 
205,TA091,2005/06,MTA,Topotecan,Pharmaceutical,Ovarian cancer (advanced),Recommended,Recommendation in line with marketing authorisation. 
206,TA091,2005/06,MTA,Paclitaxel,Pharmaceutical,Ovarian cancer (advanced),Recommended,Update of guidance TA45. Recommendation in line with marketing authorisation. 
207,TA091,2005/06,MTA,Paclitaxel in combination with a platinum-based compound,Pharmaceutical,Ovarian cancer (advanced),Recommended,"Update of guidance TA28. Recommendation in line with clinical practice for women in whom PLDH and single-agent paclitaxel are considered inappropriate because they have previously been exposed to PLDH and single-agent paclitaxel, or if the impact of the adverse effects of treatment with these drugs is considered unacceptable. "
209,TA093,2005/06,MTA,Irinotecan,Pharmaceutical,Colorectal cancer (advanced),Recommended,Update of guidance TA33. Recommendation in line with marketing authorisation.
210,TA093,2005/06,MTA,Irinotecan in combination with 5-fluorouracil and folinic acid,Pharmaceutical,Colorectal cancer (advanced),Recommended,Update of guidance TA33. Recommendation in line with marketing authorisation.
211,TA093,2005/06,MTA,Oxaliplatin in combination with 5-fluorouracil and folinic acid (5FU/FA),Pharmaceutical,Colorectal cancer (advanced),Recommended,Update of guidance TA33. Recommendation in line with marketing authorisation.
212,TA093,2005/06,MTA,Raltitrexed,Pharmaceutical,Colorectal cancer (advanced),Only in Research,"Update of guidance TA33. At the time of appraisal, the Committee concluded from the available evidence that the need for rigorous monitoring and possibility of increased mortality outweigh any benefits of convenience of administration with raltitrexed. Therefore the technology was only recommended for use in the context of appropriately designed clinical trials. "
237,TA100,2006/07,MTA,Capecitabine (adjuvant),Pharmaceutical,Colon cancer ,Recommended,Recommendation in line with marketing authorisation. Moved to static list.
238,TA100,2006/07,MTA,Oxaliplatin in combination with 5-fluorouracil and folinic acid (5FU/FA) (adjuvant),Pharmaceutical,Colon cancer ,Recommended,Recommendation in line with marketing authorisation. Moved to static list.
239,TA101,2006/07,MTA,Docetaxel,Pharmaceutical,Prostate cancer (hormone-refractory),Recommended,Recommendation in line with marketing authorisation.
246,TA105,2006/07,MTA,Laparoscopic resection,Surgical procedure,Colorectal cancer,Recommended,Update of guidance TA17. Recommendation in line with clinical practice.  
249,TA107,2006/07,STA,Trastuzumab,Pharmaceutical,Breast cancer (early),Recommended,Recommendation in line with marketing authorisation.  
250,TA108,2006/07,STA,Paclitaxel,Pharmaceutical,Breast cancer (early),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
251,TA109,2006/07,STA,Docetaxel with doxorubicin and cyclophosphamide (the TAC regimen),Pharmaceutical,Breast cancer (early),Recommended,Recommendation in line with marketing authorisation.
252,TA110,2006/07,STA,Rituximab,Pharmaceutical,Follicular lymphoma,Recommended,Guidance has been replaced by TA243. Recommendation in line with marketing authorisation.
257,TA112,2006/07,MTA,Anastrozole,Pharmaceutical,Breast cancer (early),Recommended,Recommendation in line with marketing authorisation.
258,TA112,2006/07,MTA,Exemestane,Pharmaceutical,Breast cancer (early),Recommended,Recommendation in line with marketing authorisation.
259,TA112,2006/07,MTA,Letrozole,Pharmaceutical,Breast cancer (early),Recommended,Recommendation in line with marketing authorisation.
264,TA116,2006/07,STA,Gemcitabine,Pharmaceutical,Breast cancer,Recommended,Recommendation in line with marketing authorisation.
266,TA118,2006/07,MTA,Bevacizumab in combination with 5-fluorouracil plus folinic acid (with or without irinotecan),Pharmaceutical,Colorectal cancer (metastatic),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
267,TA118,2006/07,MTA,Cetuximab in combination with irinotecan,Pharmaceutical,Colorectal cancer (metastatic),Not Recommended,"Guidance has been partially replaced by TA242. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
268,TA119,2006/07,STA,Fludarabine (monotherapy),Pharmaceutical,Leukaemia (lymphocytic),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
271,TA121,2007/08,MTA,Carmustine implants,Pharmaceutical,Glioma (newly diagnosed),Recommended,Recommendation in line with clinical practice.
272,TA121,2007/08,MTA,Temozolomide,Pharmaceutical,Glioma (newly diagnosed),Recommended,Recommendation in line with clinical practice.
275,TA124,2007/08,STA,Pemetrexed (2nd line),Pharmaceutical,Non-small cell lung cancer ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
280,TA129,2007/08,STA,Bortezomib,Pharmaceutical,Multiple myeloma,Recommended,Recommended after agreement of Patient Access Scheme.
292,TA135,2007/08,MTA,Pemetrexed disodium,Pharmaceutical,Malignant pleural mesothelioma,Recommended,Recommendation in line with clinical practice. 
294,TA137,2007/08,STA,Rituximab (3rd line),Pharmaceutical,Relapsed or refractory stage III or IV follicular non-Hodgkin’s lymphoma,Recommended,Update of guidance TA37. Recommendation in line with marketing authorisation. 
305,TA145,2008/09,STA,Cetuximab,Pharmaceutical,Locally advanced squamous cell cancer of the head and neck,Optimised,Optimised recommendation for use in specific circumstances for people with locally advanced squamous cell cancer of the head and neck whose Karnofsky performance-status score is 90% or greater and for whom all forms of platinum-based chemoradiotherapy treatment are contraindicated. 
307,TA147,2008/09,STA,Bevacizumab (1st line),Pharmaceutical,Metastatic breast cancer ,Terminated Appraisal - non submission,Guidance has been replaced by TA214. The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
308,TA148,2008/09,STA,Bevacizumab (1st line),Pharmaceutical,"Unresectable advanced, metastatic or recurrent non-small-cell lung cancer ",Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
309,TA149,2008/09,STA,Carmustine implants,Pharmaceutical,Recurrent  glioblastoma multiforme,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
310,TA150,2008/09,STA,Cetuximab (2nd-3rd line),Pharmaceutical,Metastatic colorectal cancer following failure of oxaliplatin-containing chemotherapy,Terminated Appraisal - non submission,Guidance has been replaced by TA242. The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
335,TA162,2008/09,STA,Erlotinib (2nd-line treatment in patients for whom docetaxel is suitable),Pharmaceutical,Non-small-cell lung cancer,Recommended,Recommendation in line with marketing authorisation and following agreement of a Patient Access Scheme.
336,TA162,2008/09,STA,Erlotinib (2nd-line treatment in patients for whom docetaxel is unsuitable; or as a 3rd-line treatment after docetaxel therapy),Pharmaceutical,Non-small-cell lung cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
349,TA169,2008/09,MTA,Sunitinib (1st line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Recommended,Recommendation in line with clinical practice and following agreement of Patient Access Scheme.
351,TA171,2009/10,STA,Lenalidomide,Pharmaceutical,Multiple  myeloma ,Recommended,Recommended following agreement on Patient Access Scheme.
352,TA172,2009/10,STA,Cetuximab,Pharmaceutical,Recurrent  and/or metastatic squamous cell cancer of the head and neck,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
354,TA174,2009/10,STA,Rituximab in combination with fludarabine and cyclophosphamide (1st line),Pharmaceutical,Chronic lymphocytic leukaemia ,Optimised,Optimised recommendation for use in specific circumstances in combination with fludarabine and cyclophosphamide. 
355,TA175,2009/10,STA,Gefitinib (2nd line),Pharmaceutical,Locally advanced or metastatic non-small-cell-lung cancer ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
356,TA176,2009/10,STA,"Cetuximab in combination with 5-fluorouracil (5-FU), folinic acid and oxaliplatin (FOLFOX) (1st line)",Pharmaceutical,Metastatic colorectal cancer ,Recommended,Recommendation in line with clinical practice and following agreement of Patient Access Scheme.
357,TA176,2009/10,STA,"Cetuximab in combination with 5-FU, folinic acid and irinotecan (FOLFIRI) (1st line)",Pharmaceutical,Metastatic colorectal cancer ,Recommended,Recommendation in line with clinical practice and following agreement of Patient Access Scheme.
359,TA178,2009/10,MTA,Bevacizumab (1st line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
360,TA178,2009/10,MTA,Sorafenib (1st line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
361,TA178,2009/10,MTA,Temsirolimus (1st line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
362,TA178,2009/10,MTA,Sunitinib (2nd line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
363,TA178,2009/10,MTA,Sorafenib (2nd line),Pharmaceutical,Advanced and/or metastatic renal cell carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
364,TA179,2009/10,STA,Sunitinib,Pharmaceutical,Unresectable and/or metastatic malignant gastrointestinal stromal tumours,Recommended,Recommendation in line with marketing authorisation and following agreement of Patient Access Scheme.
366,TA181,2009/10,STA,Pemetrexed in combination with cisplatin (1st line),Pharmaceutical,Locally advanced or metastatic non-small-cell lung cancer ,Recommended,Recommendation in line with clinical practice.
368,TA183,2009/10,STA,Topotecan in combination with cisplatin,Pharmaceutical,Recurrent or stage IV cervical cancer ,Recommended,Recommended in line with marketing authorisation.
369,TA184,2009/10,MTA,Oral topotecan ,Pharmaceutical,Relapsed small-cell lung cancer,Recommended,Recommendation in line with clinical practice.
370,TA184,2009/10,MTA,Intravenous topotecan,Pharmaceutical,Relapsed small-cell lung cancer ,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
371,TA185,2009/10,STA,Intravenous trabectedin,Pharmaceutical,Advanced soft tissue sarcoma ,Recommended,Recommended following agreement of Patient Access Scheme.
378,TA189,2010/11,STA,Sorafenib (1st line),Pharmaceutical,Advanced and metastatic hepatocellular carcinoma ,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
379,TA190,2010/11,STA,Pemetrexed (maintenance treatment),Pharmaceutical,Non-small-cell lung cancer,Recommended,Recommendation in line with marketing authorisation. 
380,TA191,2010/11,STA,Capecitabine (1st line),Pharmaceutical,Inoperable advanced gastric cancer,Recommended,Recommendation in line with marketing authorisation
381,TA192,2010/11,STA,Gefitinib (1st line),Pharmaceutical,Locally advanced or metastatic non-small-cell lung cancer,Recommended,Recommendation in line with marketing authorisation and following agreement of Patient Access Scheme.
382,TA193,2010/11,STA,Rituximab in combination with chemotherapy (other than fludarabine and cyclophosphamide),Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia,Only in Research,"Due to a lack of clinical and cost effectiveness evidence, the Committee concluded that rituximab plus chemotherapy (other than fludarabine and cyclophosphamide) should only be used for the treatment of relapsed or refractory chronic lymphocytic leukaemia in the context of research."
383,TA193,2010/11,STA,Rituximab in combination with fludarabine and cyclophosphamide,Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia,Optimised,"Optimised recommendation for use in specific circumstances for the treatment of people who have not previously received rituximab (or who have only received rituximab in the context of a clinical trial at a dose lower than the licensed dose for chronic lymphocytic leukaemia, or in combination with chemotherapy other than fludarabine and cyclophosphamide) and whose disease is not refractory to fludarabine."
384,TA193,2010/11,STA,Rituximab in combination with fludarabine and cyclophosphamide,Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia,Only in Research,"For patients who have already received rituximab (in circumstances other than in the context of a clinical trial), rituximab in combination with fludarabine and cyclophosphamide should only be used in the context of research."
385,TA194,2010/11,STA,Denosumab,Pharmaceutical,Therapy-induced bone loss in non-metastatic prostate cancer,Terminated Appraisal - non submission,Guidance has been replaced by CG175The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
393,TA196,2010/11,STA,Imatinib adjuvant,Pharmaceutical,Gastrointestinal stromal tumours (resectable),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
402,TA202,2010/11,STA,Ofatumumab,Pharmaceutical,Chronic lymphocytic leukaemia refractory to fludarabine and alemtuzumab,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available and the proposed Patient Access Scheme."
409,TA206,2010/11,STA,Bendamustine,Pharmaceutical,Indolent non-Hodgkin's lymphoma that is refractory to rituximab,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
410,TA207,2010/11,STA,Temsirolimus,Pharmaceutical,Mantle cell lymphoma (relapsed) ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
411,TA208,2010/11,STA,Trastuzumab in combination with cisplatin and capecitabine or 5-fluorouracil,Pharmaceutical,"Gastric cancer (HER2-positive, metastatic)",Optimised,Optimised recommendation for use under specific circumstances for people with human epidermal growth factor receptor 2 (HER2)-positive metastatic adenocarcinoma of the stomach or gastro-oesophageal junction who have not received prior treatment for their metastatic disease and have tumours expressing high levels of HER2 as defined by a positive immunohistochemistry score of 3 (IHC3 positive). 
412,TA209,2010/11,MTA,Imatinib (dose escalation to 600mg/day or 800mg/day following disease progression on 400 mg/day imatinib),Pharmaceutical,"Gastrointestinal stromal tumours (unresectable, metastatic)",Not Recommended,"Partial update of guidance TA86 (recommendation 1.4). At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
420,TA212,2010/11,STA,Bevacizumab in combination with oxaliplatin and either fluorouracil plus folinic acid or capecitabine,Pharmaceutical,Metastatic colorectal cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
422,TA214,2010/11,STA,Bevacizumab in combination with a taxane (1st line),Pharmaceutical,Metastatic breast cancer,Not Recommended,"Update of guidance TA147. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
423,TA215,2010/11,STA,Pazopanib (1st line),Pharmaceutical,Metastatic renal cell carcinoma,Recommended,Recommended in line with clinical practice and after agreement of Patient Access Scheme.
424,TA216,2010/11,STA,Bendamustine (1st line),Pharmaceutical,Chronic lymphocytic leukaemia (Binet stage B or C),Recommended,Recommendation in line with marketing authorisation.
430,TA218,2010/11,STA,Azacitidine,Pharmaceutical,"Myelodysplastic syndromes, chronic myelomonocytic leukaemia and acute myeloid leukaemia",Recommended,Recommendation in line with marketing authorisation and after agreement of Patient Access Scheme.
431,TA219,2011/12,STA,Everolimus,Pharmaceutical,Advanced renal cell carcinoma (2nd line),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
434,TA222,2011/12,STA,Trabectedin in combination with pegylated liposomal doxorubicin hydrochloride,Pharmaceutical,Relapsed platinum-sensitive ovarian cancer in women,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
442,TA226,2011/12,STA,Rituximab (1st line maintenance treatment),Pharmaceutical,Follicular non-Hodgkin’s lymphoma that has responded to first-line induction therapy with rituximab plus chemotherapy.,Recommended,Recommended in line with marketing authorisation.
443,TA227,2011/12,STA,Erlotinib (1st line maintenance treatment),Pharmaceutical,Advanced or metastatic non-small-cell lung cancer (which is stable after platinum-based first-line chemotherapy),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available, despite agreement of a patient access scheme."
444,TA228,2011/12,MTA,Thalidomide in combination with an alkylating agent and a corticosteroid,Pharmaceutical,Multiple myeloma,Recommended,Recommended in line with marketing authorisation.
445,TA228,2011/12,MTA,Bortezomib in combination with an alkylating agent and a corticosteroid,Pharmaceutical,Multiple myeloma,Optimised,Optimised recommendation for use in specific circumstances for people with multiple myeloma if high-dose chemotherapy with stem cell transplantation is considered inappropriate and they are unable to tolerate or have contraindications to thalidomide. 
453,TA235,2011/12,STA,Mifamurtide,Pharmaceutical,"Treatment of high-grade resectable non-metastatic osteosarcoma in children, adolescents and young adults",Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
458,TA239,2011/12,STA,Fulvestrant,Pharmaceutical,Treatment of locally advanced or metastatic breast cancer in postmenopausal women whose cancer has progressed after anti-oestrogen therapy.,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
459,TA240,2011/12,STA,Panitumumab in combination with chemotherapy,Pharmaceutical,Treatment of metastatic colorectal cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
460,TA241,2011/12,MTA,Nilotinib,Pharmaceutical,Treatment of chronic or accelerated phase Philadelphia-chromosome-positive chronic myeloid leukaemia in adults whose CML is resistant to treatment with standard-dose imatinib or who have imatinib intolerance,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
461,TA241,2011/12,MTA,Dasatinib,Pharmaceutical,"Treatment of chronic, accelerated or blast-crisis phase CML in adults with imatinib intolerance or whose CML is resistant to treatment with standard-dose imatinib",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
462,TA241,2011/12,MTA,High dose imatinib,Pharmaceutical,"Treatment of chronic, accelerated or blast-crisis phase Philadelphia-chromosome-positive CML that is resistant to standard-dose imatinib",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
463,TA242,2011/12,MTA,Cetuximab monotherapy or combination chemotherapy,Pharmaceutical,Treatment of metastatic colorectal cancer that has progressed after first-line chemotherapy,Not Recommended,The guidance updates and replaces recommendations in TA150. This guidance also partially updates recommendations TA118. 
464,TA242,2011/12,MTA,Bevacizumab in combination with non-oxaliplatin (fluoropyrimidine-based) chemotherapy,Pharmaceutical,Treatment of metastatic colorectal cancer that has progressed after first-line chemotherapy,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
465,TA242,2011/12,MTA,Panitumumab monotherapy,Pharmaceutical,Treatment of metastatic colorectal cancer that has progressed after first-line chemotherapy,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
466,TA243,2011/12,MTA,Rituximab in combination with chemotherapy,Pharmaceutical,First-line treatment of stage III-IV follicular lymphoma,Recommended,This guidance updates and replaces TA110. Recommendation in line with marketing authorisation.
474,TA250,2012/13,STA,Eribulin,Pharmaceutical,Treatment of locally advanced or metastatic breast cancer that has progressed after at least two chemotherapy regimens for advanced disease,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available despite agreement of a patient access scheme."
475,TA251,2012/13,MTA,Standard-dose imatinib (400mg/day),Pharmaceutical,Treatment of chronic phase Philadelphia-chromosome-positive chronic myeloid leukaemia ,Recommended,Partially updates TA70. Recommended in line with marketing authorisation.
