nct_id,phase,start_date,enrollment_type,drug,official_title,brief_title,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00117286,Phase 2/Phase 3,31/03/2005,Actual,degarelix,"An Open-Label, Multi-Center, Extension Study Investigating the Long-Term Safety and Tolerability of Degarelix One-Month Depots in Patients With Prostate Cancer",Extension Study Investigating the Long-Term Safety of Degarelix One-Month Depots in Patients With Prostate Cancer,0,2,14,0,,,0,,0,98
NCT00129376,Phase 2,28/02/2003,Actual,docetaxel,Multicenter Phase II Trial of Doxorubicin and Cyclophosphamide (AC) Followed by Weekly Docetaxel (T) as Neoadjuvant Treatment for Operable Stage II and IIIA Breast Cancer Patients,Doxorubicin and Cyclophosphamide (AC) Followed by Weekly Docetaxel as Neoadjuvant Treatment of Breast Cancer Patients,0,0,0,0,,,0,,0,63
NCT00148122,Phase 2,30/11/2002,Actual,docetaxel,"A Phase II Trial Evaluating Weekly Docetaxel and Capecitabine in Patients With Metastatic or Advanced, Locally, Recurrent Head and Neck Cancer",A Study of a New Combination and Schedule of Chemotherapy Drugs for the Treatment of Head and Neck Cancer,0,0,0,0,,,0,,2,36
NCT00148317,Phase 2,30/06/2005,Actual,bortezomib,"A Sequential Phase II Trial of the Combination of Bortezomib (VELCADE), Dexamethasone (DECADRON) and Pegylated Liposomal Doxorubicin (DOXIL) Followed by High Dose Cyclophosphamide in Multiple Myeloma Patients","Phase II Study of Velcade, Decadron, and Doxil Followed by Cyclophosphamide in Multiple Myeloma",0,3,4,0,4,,0,,5,60
NCT00179309,Phase 2,30/09/2005,Actual,docetaxel,A Randomized Pilot Phase II Study of Docetaxel Alone or in Combination With PANVAC(Trademark)-V (Vaccinia) and PANVAC(Trademark)-F (Fowlpox) in Adults With Metastatic Breast Cancer,Docetaxel Alone or in Combination With Vaccine to Treat Breast Cancer,0,6,20,0,6,,0,,0,160
NCT00182637,Phase 2,31/07/2004,Actual,bortezomib,A Phase II Study of Bortezomib (VELCADE®) in Patients With Relapsed or Refractory Cutaneous T-Cell Lymphoma (CTCL),Bortezomib in Treating Patients With Relapsed or Refractory Cutaneous T-Cell Lymphoma,0,0,1,0,,,0,,0,4
NCT00184028,Phase 2,30/09/2004,Actual,docetaxel,Phase II Trial of Taxotere and Oxaliplatin Combination Chemotherapy in Squamous Cell Carcinoma of the Head and Neck,Combination of Taxotere and Oxaliplatin in Squamous Cell Carcinoma of the Head and Neck,0,2,2,0,2,,0,,2,16
NCT00201825,Phase 2,31/12/2004,Actual,docetaxel,A Phase II Study of Capecitabine and Docetaxel in Previously Untreated Advanced Non-Small Cell Lung Cancer Patients,A Phase II Study of Capecitabine and Docetaxel in Previously Untreated Advanced Non-Small Cell Lung Cancer Patients,0,0,4,0,,,0,,0,25
NCT00215683,Phase 2/Phase 3,28/02/2005,Actual,degarelix,"An Open-Label, Multi-Centre, Extension Study Evaluating the Long-Term Safety and Tolerability of Degarelix One-Month Depots in Patients With Prostate Cancer.",An Extension Study Evaluating the Long-Term Safety and Tolerability of Degarelix One-Month Depots in Prostate Cancer,0,2,6,0,,,0,,0,266
NCT00217672,Phase 2,31/05/2005,Actual,docetaxel,A Randomized Phase II Trial of Docetaxel With or Without Bevacizumab as First-Line Therapy for Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Metastatic Breast Cancer,Docetaxel With Bevacizumab as First-Line Therapy in Treating Women With Stage IV Breast Cancer,0,4,9,0,8,,0,,8,105
NCT00225420,Phase 1/Phase 2,31/08/2005,Actual,docetaxel,"A Phase I/II Study of Concurrent Weekly Docetaxel (Taxotere®), Androgen Ablation, and Adaptive External Beam Radiotherapy for Localized High-Risk Adenocarcinoma of the Prostate","Docetaxel, Androgen Ablation, and External-Beam Radiation Therapy in Patients With High-Risk Localized Prostate Cancer",0,0,4,0,,,0,,0,14
NCT00238238,Phase 2,31/03/2006,Actual,lenalidomide,"A Randomized Phase II Trial of Rituximab Versus Lenalidomide (REVLIMID™, Cc-5013) (IND#73034) Versus Rituximab + Lenalidomide in Recurrent Follicular Non-Hodgkin Lymphoma (NHL) That is Not Rituximab-Refractory",Rituximab and/or Lenalidomide in Treating Patients With Follicular Non-Hodgkin's Lymphoma That is Not Refractory to Rituximab,0,2,8,2,,,0,,8,162
NCT00268892,Phase 2/Phase 3,31/01/2006,Actual,degarelix,"An Open-Label, Multi-Centre, Extension Study, Evaluating the Long-Term Safety and Tolerability of Different Three-Month Degarelix Dosing Regimens in Patients With Prostate Cancer",Extension Study Investigating the Long-Term Safety of Degarelix Three-Month Depots in Patients With Prostate Cancer,6,12,66,0,,,0,,0,1584
NCT00271505,Phase 2,05/12/2005,Actual,docetaxel,A Phase II Evaluation of Avastin in Combination With Docetaxel and Carboplatin as Chemotherapy in Patients With Metastatic Non-Small Cell Lung Cancer,Avastin/Docetaxel/Carboplatin in Non-Small Cell Lung Cancer,0,4,2,0,2,,0,,0,72
NCT00276614,Phase 2,30/04/2006,Actual,bortezomib,A Phase II Study of Bortezomib (Velcade ) Administered as a Single Agent in Metastatic Non-Clear Cell Renal Cell Carcinoma (RCC) Patients,Bortezomib in Treating Patients With Metastatic Kidney Cancer,0,0,0,0,,,0,,0,4
NCT00280735,Phase 2,31/05/2004,Actual,docetaxel,Phase II Trial Exploring the Feasibility of Adjuvant Carboplatin/Docetaxel in Curatively Resected Stage I-IIIA Non-Small Cell Lung Cancer,Ph II Adjuvant Carboplatin/Docetaxel in Curatively Resected Stage I-IIIA NSCLC,,1,7,,4,,,,4,128
NCT00281840,Phase 2,30/09/2005,Actual,docetaxel,A Phase II Study of Bevacizumab in Combination With Docetaxel and Radiation in Locally Advanced Squamous Cell Cancer of the Head and Neck,"Bevacizumab, Docetaxel, and Radiation Therapy in Treating Patients With Stage III or Stage IV Head and Neck Cancer",0,0,0,0,0,,0,,2,58
NCT00287287,Phase 2,28/02/2006,Actual,lenalidomide,Phase II Trial of REVLIMID® (Lenalidomide) for Therapy of Radioiodine-Unresponsive Papillary & Follicular Thyroid Carcinomas,REVLIMID® (Lenalidomide) for Therapy of Radioiodine-Unresponsive Papillary and Follicular Thyroid Carcinomas,0,2,0,0,0,,0,,0,48
NCT00290706,Phase 1/Phase 2,07/04/2006,Actual,bortezomib,A Phase I/II Trial of Combination Bortezomib (VELCADE) and Gemcitabine Therapy for Patients With Relapsed or Refractory Aggressive B- and T-cell Non-Hodgkin's Lymphoma,A Phase I/II Trial of VELCADE & Gemcitabine for Patients With Relapsed or Refractory Aggressive B- and T-cell Non-Hodgkin's Lymphoma,2,2,10,0,6,,0,,0,108
NCT00295750,Phase 3,28/02/2006,Actual,degarelix,"An Open-label, Multi-Centre, Randomized, Parallel-group Study, Investigating the Efficacy and Safety of Degarelix One Month Dosing Regimens; 160 mg (40 mg/ml) and 80 mg (20mg/ml), in Comparison to LUPRON DEPOT® 7.5 mg in Patients With Prostate Cancer Requiring Androgen Ablation Therapy",The Efficacy and Safety of Degarelix One Month Dosing Regimens in Prostate Cancer,236,8,152,0,,,0,,0,2044
NCT00295932,Phase 1/Phase 2,13/12/2005,Actual,bortezomib,"A Phase II Study of the Novel Proteasome Inhibitor Bortezomib in Combination With Rituximab, Cyclophosphamide and Prednisone in Patients With Relapsed/Refractory Indolent B-Cell Lymphoproliferative Disorders and Mantle Cell Lymphoma (MCL)","Bortezomib, Rituximab, Cyclophosphamide, and Prednisone in Treating Patients With Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma",0,10,8,0,,,0,,4,136
NCT00310037,Phase 2,30/06/2006,Actual,bortezomib,A Randomized Phase II Trial of Maintenance vs Consolidation Bortezomib Therapy Following Aggressive Chemo-Immunotherapy and Autologous Stem Cell Transplant for Previously Untreated Mantle Cell Lymphoma,"Bortezomib After Combination Chemotherapy, Rituximab, and an Autologous Stem Cell Transplant in Treating Patients With Mantle Cell Lymphoma",0,0,6,0,2,,0,,34,366
NCT00352001,Phase 1/Phase 2,31/05/2006,Actual,lenalidomide,A Phase I/II Study of Revlimid (Lenalidomide) in Combination With Vidaza (Azacitidine) in Patients With Advanced Myelodysplastic Syndrome (MDS),Lenalidomide and Azacitidine in Treating Patients With Advanced Myelodysplastic Syndromes,0,0,1,0,2,,0,,7,64
NCT00352794,Phase 2,07/07/2006,Actual,lenalidomide,Evaluation of Lenalidomide (CC-5013) and Prednisone as a Therapy for Patients With Myelofibrosis (MF),Lenalidomide for Patients With Myelofibrosis (MF),0,1,0,0,,,0,,1,38
NCT00369707,Phase 2,09/08/2006,Actual,bortezomib,A Phase II Trial of Combination Bortezomib and Rituximab as Front-line Therapy for Low-grade Non-Hodgkin's Lymphoma,Trial of VELCADE and Rituxan as Front-line Tx for Low-grade NHL,0,0,4,1,3,,0,,0,76
NCT00376961,Phase 2,31/08/2006,Actual,bortezomib,A Phase II Study of Combination Rituximab-CHOP and Bortezomib (Velcade®) (R-CHOP-V) Induction Therapy Followed by Bortezomib Maintenance (VM) Therapy for Patients With Newly Diagnosed Mantle Cell Lymphoma,"S0601 Rituximab, Combination Chemotherapy, and Bortezomib Followed by Bortezomib Alone in Treating Patients With Newly Diagnosed Mantle Cell Lymphoma",0,1,2,1,1,,0,,13,112
NCT00390429,Phase 1/Phase 2,31/07/2002,Actual,docetaxel,Phase I/II Study of Docetaxel and OSI-774 (Erlotinib) in Solid Tumor Patients With an Emphasis on NSCLC Using Molecular Correlates as Potential Markers of Response,Docetaxel and Erlotinib in Treating Patients With Advanced Non-Small Cell Lung Cancer or Other Solid Tumors,,10,6,,,,,,,146
NCT00439231,Phase 2,28/02/2007,Actual,lenalidomide,A Phase II Study of Lenalidomide Revlimid(Registered Trademark) in Previously Treated Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lenalidomide in Previously Treated Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0,0,4,0,0,,0,,7,55
NCT00440726,Phase 1/Phase 2,04/08/2006,Actual,bortezomib,A Study of Bortezomib With Chemotherapy for Relapsed/Refractory Acute Lymphoblastic Leukemia,Bortezomib With Chemotherapy for Relapsed Pediatric Acute Lymphoblastic Leukemia (ALL),0,4,0,0,18,,0,,8,94
NCT00441168,Phase 2,31/12/2006,Actual,bortezomib,"A Phase 2, Multicentre, Randomised, Open-Label, Parallel Group Study to Evaluate the Safety and Efficacy of Velcade When Added to Adriamycin-Dexamethasone Treatment Versus Vincristine-Adriamycin-Dexamethasone Standard Treatment in Subjects With Multiple Myeloma Who Are Refractory to or Have Relapsed After Primary Therapy for Multiple Myeloma","Velcade (Bortezomib), Adriamycin Dexamethasone (PAD) or Vincristine Adriamycin Dexamethasone in Second Line Treatment of Multiple Myeloma",0,0,0,0,,,0,,0,58
NCT00445692,Phase 2,10/01/2007,Actual,lenalidomide,"Maintenance Therapy With Lenalidomide, Dexamethasone and Clarithromycin (Biaxin) Following Autologous/Syngeneic Transplant for Multiple Myeloma","Lenalidomide, Dexamethasone, and Clarithromycin in Treating Patients Who Have Undergone Stem Cell Transplant for Multiple Myeloma",0,0,2,0,,,0,,1,28
NCT00448760,Phase 2,31/10/2004,Actual,docetaxel,"A Nonrandomized Phase II Study: Feasibility and Outcome of Neo Adjuvant Chemotherapy With Oxaliplatin, Fluorodeoxyuridine (FUdR), Taxotere and Leucovorin in the Treatment of Previously Untreated Advanced Esophago-Gastric Carcinoma",Combination Chemotherapy in Treating Patients With Previously Untreated Stage II or Stage III Esophageal Cancer That Can Be Removed By Surgery,0,0,3,0,7,,0,,0,48
NCT00460031,Phase 2,01/09/2006,Actual,lenalidomide,Phase II Trial to Assess the Activity of Ketoconazole Plus Lenalidomide in Patients With Prostate Cancer Progressive After Androgen Deprivation,Treating Patients With Prostate Cancer That Did Not Respond to Hormone Therapy,0,0,3,0,0,,0,,2,63
NCT00466921,Phase 2,19/04/2005,Actual,lenalidomide,"Phase II Trial of CC-5013 (Lenalidomide, Revlimid®) in Patients With Cutaneous T-Cell Lymphoma",Lenalidomide in Treating Patients With Relapsed Mycosis Fungoides/Sezary Syndrome,0,0,6,0,1,,0,,1,58
NCT00468286,Phase 2,31/05/2007,Actual,degarelix,"An Open-Label, Multi-Centre, Randomised Parallel-Group Dose-Finding Study, Investigating Efficacy and Safety of Two Degarelix Three-Month Dosing Regimens in Patients With Prostate Cancer Requiring Androgen Ablation Therapy",Investigating Efficacy and Safety of Two Degarelix Three-Month Dosing Regimens in Patients With Prostate Cancer Requiring Androgen Ablation Therapy,0,4,20,0,,,0,,0,508
NCT00482911,Phase 2,30/04/2007,Actual,lenalidomide,"A Phase II Study of Combination Oral CC-5013 Lenalidomide (Revlimid™), Oral Sunitinib (Sutent™) and Low Dose Oral Metronomic Cyclophosphamide for the Treatment of Stage IV Ocular Melanoma","Lenalidomide, Sunitinib, and Cyclophosphamide in Treating Patients With Stage IV Eye Melanoma",0,0,2,0,0,,0,,0,46
NCT00492050,Phase 2,31/08/2006,Actual,bortezomib,Primary Treatment of Waldenstrom's Macroglobulinemia With Bortezomib (Velcade) and Rituximab (Rituxan) Followed by Autologous Stem Cell Collection,Bortezomib and Rituximab for Patients With Waldenstrom's Macroglobulinemia,0,2,3,0,2,,0,,2,65
NCT00500110,Phase 2,30/06/2003,Actual,docetaxel,"Neoadjuvant Hormonal Ablation, Imatinib Mesylate and Docetaxel Followed by Radical Prostatectomy for High-Risk Localized Prostate Cancer","Hormonal Ablation, Imatinib Mesylate and Docetaxel for Patients With Prostate Cancer",0,0,4,0,,,0,,0,35
NCT00510718,Phase 1,23/07/2007,Actual,enzalutamide,"A PHASE 1, OPEN-LABEL, DOSE-ESCALATION SAFETY AND PHARMACOKINETIC STUDY OF MDV3100 IN PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER",A Phase 1 Study of MDV3100 in Patients With Castration-Resistant (Hormone-Refractory) Prostate Cancer,2,0,8,0,10,,0,,2,538
NCT00538733,Phase 2,31/10/2007,Actual,lenalidomide,"A Phase II Study of Thalidomide (THALOMID®), Clarithromycin (BIAXIN®), Lenalidomide(REVLIMID®), and Dexamethasone (DECADRON®) for Subjects With Newly Diagnosed Multiple Myeloma","Phase II Study of Thalidomide, Clarithromycin, Lenalidomide, and Dexamethasone for Newly Diagnosed Multiple Myeloma",0,2,0,0,3,,0,,4,43
NCT00538824,Phase 2,31/12/2007,Actual,lenalidomide,"A Phase II Study of Dexamethasone (DECADRON®), Thalidomide (THALOMID®), and Lenalidomide (REVLIMID®) for Subjects With Relapsed or Refractory Multiple Myeloma","Phase II Study of Dexamethasone, Thalidomide and Lenalidomide for Subjects With Relapsed or Refractory Multiple Myeloma",0,0,1,0,0,,0,,0,9
NCT00556374,Phase 3,18/12/2006,Actual,denosumab,"A Randomised, Double-Blind, Placebo-Controlled, Multi-Centre Phase 3 Study to Determine the Treatment Effect of Denosumab in Subjects With Non-Metastatic Breast Cancer Receiving Aromatase Inhibitor Therapy.",Study to Determine Treatment Effects of Denosumab in Patients With Breast Cancer Receiving Aromatase Inhibitor Therapy,,24,2,,8,,,,2,6804
NCT00571493,Phase 1/Phase 2,30/04/2006,Actual,bortezomib,"Phase I/II Study of VELCADE®-BEAM and Autologous Hematopoietic Stem Cell Transplantation for Relapsed Indolent Non-Hodgkin's Lymphoma, Transformed or Mantle Cell Lymphoma","VELCADE®-BEAM and Autologous Hematopoietic Stem Cell Transplantation for Non-Hodgkin's Lymphoma, or Mantle Cell Lymphoma",,,,,0,,,,0,42
NCT00584012,Phase 1,30/04/2004,Actual,docetaxel,A Study of the Proper Dosage of Lovastatin and Docetaxel for Patients With Cancer,A Study of the Proper Dosage of Lovastatin and Docetaxel for Patients With Cancer,0,0,0,0,,,0,,0,9
NCT00619684,Phase 2,29/02/2008,Actual,lenalidomide,A Phase II Study of Lenalidomide Following Allogeneic Stem Cell Transplant for Multiple Myeloma Patients Who Relapse or Have Disease Progression,Lenalidomide in Treating Patients With Progressive or Recurrent Multiple Myeloma After a Donor Stem Cell Transplant,0,0,1,0,0,,0,,0,35
NCT00632359,Phase 2,29/02/2008,Actual,lenalidomide,A Study of Lenalidomide in Patients With Chronic Lymphocytic Leukemia and Residual Disease After Chemotherapy - RV-CLL-PI-0270,Lenalidomide in Chronic Lymphocytic Leukemia (CLL) Patients With Residual Disease,0,0,0,0,,,0,,1,32
NCT00670358,Phase 1/Phase 2,25/08/2008,Actual,lenalidomide,"Phase I/II Study of Lenalidomide (Revlimid), Rituximab, Cyclophosphamide, Doxorubicin, Vincristine and Prednisone (R2CHOP) Chemoimmunotherapy in Patients With Newly Diagnosed Diffuse Large Cell and Follicular Grade IIIA/B B Cell Lymphoma","Lenalidomide, Rituximab, and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Diffuse Large Cell or Follicular B-Cell Lymphoma",0,0,2,0,2,,0,,6,542
NCT00679367,Phase 2,31/05/2008,Actual,lenalidomide,"A Phase II Trial of MRD (Melphalan, Lenalidomide and Dexamethasone) for Patients With AL Amyloidosis","Melphalan, Lenalidomide, and Dexamethasone in Treating Patients With Primary Systemic Amyloidosis",0,0,1,0,,,0,,0,15
NCT00695786,Phase 2,10/06/2008,Actual,lenalidomide,A Phase II Study of Revlimid in Combination With Rituximab as Initial Treatment for Patients With Indolent Non-Hodgkin's Lymphoma (NHL),Lenalidomide in Combination With Rituximab in Treating Participants With Stage III/IV Indolent Non-Hodgkin Lymphoma,2,4,12,0,28,,0,,102,476
NCT00711243,Phase 1/Phase 2,20/04/2005,Actual,docetaxel,"A Phase I/II Study of Taxotere, Oxaliplatin, and 5- Fluorouracil","Docetaxel, Oxaliplatin, and Fluorouracil in Treating Patients With Metastatic or Unresectable Stomach Cancer, Gastroesophageal Junction Cancer, or Other Solid Tumor",0,16,16,0,8,,0,,14,182
NCT00737529,Phase 2,22/12/2008,Actual,lenalidomide,"A Phase 2, Multicenter, Single-Arm, Open-Label Study To Determine The Efficacy And Safety Of Single-Agent Lenalidomide (Revlimid®) In Patients With Mantel Cell NHL Who Have Relapsed Or Progressed After Treatment With Bortezomib Or Are Refractory To Bortezomib","A Study to Determine the Efficacy and Safety of Lenalidomide in Patients With Mantle Cell NHL Who Have Relapsed or Progressed After Treatment With Bortezomib or Are Refractory to Bortezomib. The ""EMERGE"" Trial",,3,1,,,,,2,,128
NCT00765245,Phase 2,31/10/2008,Actual,lenalidomide,A Phase II Randomized Study of Lenalidomide or Lenalidomide and Rituximab as Maintenance Therapy Following Standard Chemotherapy for Patients With High/High-intermediate Risk Diffuse Large B-Cell Lymphoma,Lenalidomide With or Without Rituximab After Standard Chemotherapy in Treating Patients With Diffuse Large B-Cell Non-Hodgkin Lymphoma,0,0,12,0,4,,4,,32,300
NCT00774345,Phase 3,27/01/2009,Actual,lenalidomide,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study of the Efficacy and Safety of Lenalidomide (Revlimid®) as Maintenance Therapy for Patients With B-Cell Chronic Lymphocytic Leukemia Following Second-Line Therapy (The Continuum Trial)",A Study to Evaluate the Efficacy and Safety of Lenalidomide as Maintenance Therapy for Patients With B-Cell Chronic Lymphocytic Leukemia (CLL) Following Second Line Therapy,0,10,10,2,14,,0,,6,1226
NCT00783367,Phase 2,31/07/2008,Actual,lenalidomide,Phase 2 Trial of Lenalidomide (Revlimid)-Dexamethasone + Rituximab in Recurrent Small B-Cell Non-Hodgkin Lymphomas (NHL) Resistant to Rituximab,"Combination Therapy Using Lenalidomide (Revlimid)- Low Dose Dexamethasone and Rituximab for Treatment of Rituximab-Resistant, Non-Aggressive B-Cell Lymphomas",0,0,2,0,4,,0,,0,194
NCT00790842,Phase 1/Phase 2,21/01/2009,Actual,lenalidomide,A Phase I/II Study of the Tolerability of Lenalidomide and Low Dose Dexamethasone in Previously Treated Multiple Myeloma Patients With Impaired Renal Function,Lenalidomide and Low-Dose Dexamethasone in Patients With Previously Treated Multiple Myeloma and Kidney Dysfunction,2,0,16,0,0,,0,,4,226
NCT00792077,Phase 2,30/11/2008,Actual,lenalidomide,A Pilot Open Label Study to Investigate the Effect of Cytotoxic Therapy and/or Radiotherapy Including Lenalidomide on Cancer Related Sleep Disturbances in Chronic Lymphocytic Leukemia (CLL) and Breast Cancer Patients Experiencing Clinically Significant Fatigue,A Pilot Study to Investigate the Effect of Cytotoxic Therapy and/or Radiotherapy on Cancer Related Sleep Disturbances in CLL and Breast Cancer Patients Experiencing Fatigue,0,0,2,0,1,,0,,1,8
NCT00819156,Phase 2,29/02/2004,Actual,degarelix,"An Open-label, Randomised, Multi-centre, Parallel Group Comparison of the Efficacy and Safety of Degarelix at Six Different Dosing Regimens in Patients With Prostate Cancer Treated for 12 Months",Dose Finding Trial With a New Treatment (Degarelix) for Prostate Cancer,0,2,12,0,,,0,,0,360
NCT00831233,Phase 3,30/04/2009,Actual,degarelix,"A Randomised, Parallel-arm, Open-label Trial Comparing Degarelix With Goserelin Plus Anti-androgen Flare Protection (Bicalutamide), in Terms of Reduction in International Prostate Symptom Score (IPSS), in Patients With Lower Urinary Tract Symptoms (LUTS) Secondary to Locally Advanced Prostate Cancer",Symptomatic Study Investigating Degarelix in Patients Suffering From Prostate Cancer,0,0,2,0,,,0,,0,78
NCT00833248,Phase 3,30/04/2009,Actual,degarelix,"A Randomised, Parallel Arm, Open-label Trial Comparing Degarelix With Goserelin Plus Anti-androgen Flare Protection (Bicalutamide), in Terms of Prostate Size Reduction in Prostate Cancer Patients of Intermediate-to-high Risk, Who Require Neoadjuvant Hormone Therapy Prior to Radiotherapy (Curative Intent)",Neoadjuvant Study Investigating Degarelix in Patients Suffering From Prostate Cancer,2,2,36,0,,,0,,0,448
NCT00843882,Phase 3,29/01/2009,Actual,lenalidomide,Randomized Phase III Trial Comparing the Frequency of Major Erythroid Response (MER) to Treatment With Lenalidomide (Revlimid�) Alone and in Combination With Epoetin Alfa (Procrit�) in Subjects With Low- or Intermediate-1 Risk MDS and Symptomatic Anemia,Lenalidomide With or Without Epoetin Alfa in Treating Patients With Myelodysplastic Syndrome and Anemia,0,10,8,0,10,,0,,50,910
NCT00875667,Phase 2,30/04/2009,Actual,lenalidomide,"A Phase 2, Multicenter, Randomized Open-Label Study To Determine the Efficacy of Lenalidomide (Revlimid®) Versus Investigator's Choice in Patients With Relapsed or Refractory Mantle Cell Lymphoma",A Study to Determine the Efficacy of Lenalidomide Versus Investigator's Choice in Patients With Relapsed or Refractory Mantle Cell Lymphoma (MCL),0,0,0,0,,,0,,26,482
NCT00884273,Phase 3,31/08/2009,Actual,degarelix,"A Randomised, Parallel-arm, Open-label Trial Comparing Degarelix With Goserelin Plus Anti-androgen Flare Protection (Bicalutamide), in Terms of Volume Reduction of the Prostate in Patients With Prostate Cancer Being Candidates for Medical Castration",Investigation of the Effect of Degarelix in Terms of Prostate Volume Reduction in Prostate Cancer Patients,0,0,0,0,,,0,,0,358
NCT00884312,Phase 2,09/04/2009,Actual,carfilzomib,"An Open-Label, Single-Arm, Phase 2 Study of Extended Carfilzomib Therapy in Subjects Previously Enrolled in Carfilzomib Treatment Protocols",A Study of Extended Carfilzomib Therapy for Patients Previously Enrolled in Carfilzomib Treatment Protocols,,8,22,,10,,,,,160
NCT00890552,Not Applicable,30/04/2009,Actual,lenalidomide,"A Pilot Study of Lenalidomide, Melphalan and Dexamethasone in AL Amyloidosis","A Pilot Study of Lenalidomide, Melphalan and Dexamethasone in AL Amyloidosis",0,1,0,0,2,,0,,3,44
NCT00896532,Phase 2,03/06/2009,Actual,denosumab,"A Randomised, Placebo-controlled, Multi-dose Phase 2 Study to Determine the Efficacy, Safety and Tolerability of AMG 785 in the Treatment of Postmenopausal Women With Low Bone Mineral Density",Romosozumab (AMG 785) in Postmenopausal Women With Low Bone Mineral Density,,10,6,2,96,,,,,724
