nct_id,phase,start_date,enrollment_type,name,official_title,brief_title,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT01877083,Phase 2,05/04/2013,Actual,lenvatinib,"A Multicenter, Open-Label, Phase 2 Study of the Safety and Activity of Lenvatinib (E7080) in Subjects With KIF5B-RET-Positive Adenocarcinoma of the Lung",Study of the Safety and Activity of Lenvatinib (E7080) in Subjects With KIF5B-RET-Positive Adenocarcinoma of the Lung,0,17,0,0,2,,0,23,0,8
NCT01896856,Phase 1/Phase 2,23/10/2013,Actual,regorafenib,A Phase I Study of SGI-110 Combined With Irinotecan Followed by a Randomized Phase II Study of SGI-110 Combined With Irinotecan Versus Regorafenib or TAS-102 in Previously Treated Metastatic Colorectal Cancer Patients,Phase I/II Study of SGI-110 With Irinotecan Versus Regorafenib or TAS-102 in Metastatic Colorectal Cancer,0,28,32,0,12,,0,224,6,170
NCT01905592,Phase 3,25/02/2014,Actual,niraparib,"A Phase III, Randomized, Open Label, Multicenter, Controlled Trial of Niraparib Versus Physician's Choice in Previously-treated, HER2 Negative, Germline BRCA Mutation-positive Breast Cancer Patients","A Phase III Trial of Niraparib Versus Physician's Choice in HER2 Negative, Germline BRCA Mutation-positive Breast Cancer Patients",,4,18,,24,,,320,102,356
NCT01913639,Phase 2,31/07/2013,Actual,regorafenib,Phase II Study of FOLFOX Plus Regorafenib in Patients With Unresectable or Metastatic Esophagogastric Cancer,FOLFOX Plus Regorafenib in Patients With Unresectable or Metastatic Esophagogastric Cancer,0,3,2,0,1,,0,36,5,31
NCT01927419,Phase 2,23/08/2013,Actual,nivolumab,"Phase 2, Randomized, Double Blinded, Study of Nivolumab (BMS-936558) in Combination With Ipilimumab vs Ipilimumab Alone in Subjects With Previously Untreated, Unresectable or Metastatic Melanoma","Study of Nivolumab (BMS-936558) Plus Ipilimumab Compared With Ipilimumab Alone in the Treatment of Previously Untreated, Unresectable, or Metastatic Melanoma",0,2,0,0,2,,0,250,36,278
NCT01928394,Phase 1/Phase 2,24/10/2013,Actual,nivolumab,"A Phase 1/2, Open-label Study of Nivolumab Monotherapy or Nivolumab Combined With Ipilimumab in Subjects With Advanced or Metastatic Solid Tumors",A Study of Nivolumab by Itself or Nivolumab Combined With Ipilimumab in Patients With Advanced or Metastatic Solid Tumors,2,36,92,0,36,,0,1472,802,2084
NCT01953692,Phase 1,22/11/2013,Actual,pembrolizumab,A Phase Ib Multi-Cohort Trial of MK-3475 (Pembrolizumab) in Subjects With Hematologic Malignancies,A Trial of Pembrolizumab (MK-3475) in Participants With Blood Cancers (MK-3475-013/KEYNOTE-013),2,14,20,0,16,,4,328,52,352
NCT01975831,Phase 1,19/12/2013,Actual,durvalumab,"A Phase 1 Study to Evaluate the Safety and Tolerability of Anti-PD-L1, MEDI4736, in Combination With Tremelimumab in Subjects With Advanced Solid Tumors",A Phase 1 Study to Evaluate MEDI4736 in Combination With Tremelimumab,0,16,10,2,10,,0,186,26,166
NCT01982955,Phase 1/Phase 2,23/12/2013,Actual,tepotinib,"A Phase Ib/II Multicenter, Randomized, Open Label Trial to Compare Tepotinib (MSC2156119J) Combined With Gefitinib Versus Chemotherapy as Second-Line Treatment in Subjects With MET Positive, Locally Advanced or Metastatic NSCLC Harboring EGFR Mutation and Having Acquired Resistance to Prior EGFR-TKI Therapy (INSIGHT)",Tepotinib With Gefitinib in Participants With Locally Advanced or Metastatic NSCLC (INSIGHT),0,176,0,0,,,0,,0,0
NCT01988493,Phase 1/Phase 2,06/01/2014,Actual,tepotinib,"A Multicenter, Randomized, Phase Ib/II Trial to Evaluate the Efficacy, Safety, and Pharmacokinetics of MSC2156119J as Monotherapy Versus Sorafenib in Asian Subjects With MET+ Advanced Hepatocellular Carcinoma and Child-Pugh Class A Liver Function","Efficacy, Safety, and Pharmacokinetic of MSC2156119J in Asian Participants With Hepatocellular Carcinoma",0,232,0,0,0,,0,232,0,0
NCT01993719,Phase 2,12/12/2013,Actual,pembrolizumab,A Phase II Study for Metastatic Melanoma Using High-Dose Chemotherapy Preparative Regimen Followed by Cell Transfer Therapy Using Tumor-Infiltrating Lymphocytes Plus IL-2 With the Administration of Pembrolizumab in the Retreatment Arm,Immunotherapy Using Tumor Infiltrating Lymphocytes for Patients With Metastatic Melanoma,0,0,0,0,0,,0,66,0,66
NCT02005471,Phase 3,17/03/2014,Actual,venetoclax,"A Multicenter, Phase III, Open-Label, Randomized Study in Relapsed/Refractory Patients With Chronic Lymphocytic Leukemia to Evaluate the Benefit of Venetoclax (GDC-0199/ABT-199) Plus Rituximab Compared With Bendamustine Plus Rituximab",A Study to Evaluate the Benefit of Venetoclax Plus Rituximab Compared With Bendamustine Plus Rituximab in Participants With Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL),0,20,4,0,14,,0,744,56,718
NCT02008227,Phase 3,11/03/2014,Actual,atezolizumab,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) Compared With Docetaxel in Patients With Non-Small Cell Lung Cancer After Failure With Platinum Containing Chemotherapy",A Study of Atezolizumab Compared With Docetaxel in Participants With Locally Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Failed Platinum-Containing Therapy,,,,,180,,,2162,108,
NCT02011945,Phase 1,07/02/2014,Actual,nivolumab,"A Phase 1B Dose Escalation Study to Investigate the Safety, Tolerability and Preliminary Efficacy for the Combination Dasatinib (BMS-354825) Plus Nivolumab (BMS-936558) in Patients Chronic Myeloid Leukemia (CML)",A Phase 1B Study to Investigate the Safety and Preliminary Efficacy for the Combination of Dasatinib Plus Nivolumab in Patients With Chronic Myeloid Leukemia,0,2,8,0,2,,0,24,36,52
NCT02017717,Phase 3,07/02/2014,Actual,nivolumab,A Randomized Phase 3 Open Label Study of Nivolumab Versus Bevacizumab and Multiple Phase 1 Safety Cohorts of Nivolumab or Nivolumab in Combination With Ipilimumab Across Different Lines of Glioblastoma,A Study of the Effectiveness and Safety of Nivolumab Compared to Bevacizumab and of Nivolumab With or Without Ipilimumab in Glioblastoma Patients,2,14,16,,20,,,674,386,1004
NCT02036502,Phase 1,14/02/2014,Actual,pembrolizumab,A Phase I Multi-Cohort Trial of Pembrolizumab (MK-3475) in Combination With Backbone Treatments for Subjects With Multiple Myeloma,A Study of Pembrolizumab (MK-3475) in Combination With Standard of Care Treatments in Participants With Multiple Myeloma (MK-3475-023/KEYNOTE-023),0,2,16,0,26,,0,102,26,136
NCT02038933,Phase 2,05/03/2014,Actual,nivolumab,"A Single-Arm, Open-Label, Phase 2 Study of Nivolumab (BMS-936558) in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL) After Failure of Autologous Stem Cell Transplant (ASCT) or After Failure of At Least Two Prior Multi-Agent Chemotherapy Regimens in Subjects Who Are Not Candidates for ASCT",Study of Nivolumab in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL) That Have Either Failed or Are Not Eligible for Autologous Stem Cell Transplant (CheckMate 139),0,24,10,0,6,,0,128,112,204
NCT02038946,Phase 2,26/03/2014,Actual,nivolumab,"A Single Arm, Open-Label Phase 2 Study of Nivolumab (BMS-936558) in Subjects With Relapsed or Refractory Follicular Lymphoma (FL)",Study of Nivolumab in Subjects With Relapsed or Refractory Follicular Lymphoma (FL) (CheckMate 140),0,3,1,0,5,,0,49,39,87
NCT02041533,Phase 3,27/03/2014,Actual,nivolumab,"An Open-Label, Randomized, Phase 3 Trial of Nivolumab Versus Investigator's Choice Chemotherapy as First-Line Therapy for Stage IV or Recurrent PD-L1+ Non-Small Cell Lung Cancer","An Open-Label, Randomized, Phase 3 Trial of Nivolumab Versus Investigator's Choice Chemotherapy as First-Line Therapy for Stage IV or Recurrent PD-L1+ Non-Small Cell Lung Cancer (CheckMate 026)",,,,,14,,,560,508,
NCT02048722,Phase 2,13/06/2014,Actual,regorafenib,"Multicenter, Open-Label Phase II Study of Daily Oral Regorafenib for Chemotherapy-Refractory, Metastatic and Locally Advanced Angiosarcoma","Daily Oral Regorafenib for Chemotherapy-Refractory, Metastatic and Locally Advanced Angiosarcoma",0,0,3,0,0,,0,31,1,27
NCT02053376,Phase 2,31/01/2014,Actual,regorafenib,A Phase 2 Trial of Regorafenib as A Single Agent in Advanced and Metastatic Biliary Tract Carcinoma/Cholangiocarcinoma Patients Who Have Failed First-line Chemotherapy,A Phase 2 Trial of Regorafenib as A Single Agent in Advanced and Metastatic Biliary Tract Carcinoma/Cholangiocarcinoma Patients Who Have Failed First-line Chemotherapy,0,0,3,0,,,0,,0,40
NCT02054520,Phase 2,30/06/2014,Actual,nivolumab,A Phase 2b Study of Immune Checkpoint Inhibition With or Without Dorgenmeltucel-L (HyperAcute Melanoma) Immunotherapy for Stage IV Melanoma Patients,Immunotherapy Study for Patients With Stage IV Melanoma,0,0,0,0,0,,0,94,0,94
NCT02055820,Phase 1/Phase 2,17/11/2013,Actual,venetoclax,"A Phase Ib/II, Open-Label Study Evaluating the Safety, Efficacy and Pharmacokinetics of GDC-0199 (ABT-199) in Combination With Rituximab (R) or Obinutuzumab (G) Plus Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (CHOP) in Patients With B-Cell Non-Hodgkin's Lymphoma (NHL) and DLBCL","A Study Evaluating the Safety, Efficacy and Pharmacokinetics of Venetoclax Combined With Chemotherapy in Participants With B-Cell Non-Hodgkin's Lymphoma (NHL) and DLBCL",0,12,8,6,8,,0,374,274,374
NCT02061761,Phase 1/Phase 2,13/03/2014,Actual,bms-936558,"A Phase 1/2a Dose Escalation and Cohort Expansion Study of the Safety, Tolerability, and Efficacy of Anti-LAG-3 Monoclonal Antibody (Relatlimab, BMS-986016) Administered Alone and in Combination With Anti-PD-1 Monoclonal Antibody (Nivolumab, BMS-936558) in Relapsed or Refractory B-Cell Malignancies","A Study to Evaluate the Safety, Tolerability, and Efficacy of Relatlimab in Relapsed or Refractory B-Cell Malignancies",0,10,18,2,8,,0,204,16,166
NCT02066636,Phase 3,09/04/2014,Actual,nivolumab,A Phase IIIb/IV Safety Trial of Nivolumab (BMS-936558) in Subjects With Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Progressed During or After Receiving At Least One Prior Systemic Regimen,A Safety Trial of Nivolumab in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Progressed During or After Receiving At Least One Prior Chemotherapy Regimen,10,84,210,4,82,,0,2762,28,2532
NCT02079636,Phase 1,28/03/2014,Actual,pembrolizumab,A Phase 1b Study of LY2835219 in Combination With Multiple Single Agent Options for Patients With Stage IV NSCLC,A Study of Abemaciclib (LY2835219) in Combination With Another Anti-cancer Drug in Participants With Lung Cancer (NSCLC),4,14,10,0,14,,0,266,4,256
NCT02080260,Phase 2,06/06/2014,Actual,regorafenib,A Pilot Study Testing Single-Agent Regorafenib in Advanced Previously-Treated Adenocarcinoma of the Pancreas,A Study of Regorafenib in Advanced Pancreatic Cancer Patients,0,0,8,0,0,,0,20,0,12
NCT02085070,Phase 2,31/03/2014,Actual,mk-3475,A Phase 2 Study of MK-3475 in Patients With Metastatic Melanoma and Non-Small Cell Lung Cancer With Untreated Brain Metastases,MK-3475 in Melanoma and NSCLC Patients With Brain Metastases,0,2,2,2,8,,0,118,12,116
NCT02087423,Phase 2,25/02/2014,Actual,medi4736,"A Phase II,Non-comparative,Open Label, Multi-centre, International Study of MEDI4736, in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer (Stage IIIB-IV) Who Have Received at Least 2 Prior Systemic Treatment Regimens Including 1 Platinum-based Chemotherapy Regimen",A Global Study to Assess the Effects of MEDI4736 (Durvalumab) in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer,,282,10,,54,,,834,,596
NCT02089685,Phase 1/Phase 2,17/03/2014,Actual,pembrolizumab,A Phase 1/2 Clinical Trial to Study the Safety and Tolerability of MK-3475 + Pegylated Interferon Alfa-2b (PEG-IFN) and MK-3475 + Ipilimumab (IPI) in Subjects With Advanced Melanoma (MEL) and Renal Cell Carcinoma (RCC) (KEYNOTE 029),Safety and Tolerability of Pembrolizumab (MK-3475) + Pegylated Interferon Alfa-2b and Pembrolizumab+ Ipilimumab in Participants With Advanced Melanoma or Renal Cell Carcinoma (MK-3475-029/KEYNOTE-29),0,10,4,0,8,,4,520,92,542
NCT02101736,Phase 2,30/06/2014,Actual,cabozantinib,A Phase II Study of Cabozantinib (XL184) for Plexiform Neurofibromas in Subjects With Neurofibromatosis Type 1 in Children and Adults,Cabozantinib for Plexiform Neurofibromas (PN) in Subjects With NF1 in Children and Adults,0,6,8,2,6,,0,82,10,66
NCT02115373,Phase 1/Phase 2,18/05/2014,Actual,tepotinib,"A Multicenter, Single Arm, Phase Ib/II Study to Evaluate Efficacy, Safety, and PK of MSC2156119J as Monotherapy in Subjects With MET+ Advanced Hepatocellular Carcinoma With Child Pugh Class A Liver Function Who Have Failed Sorafenib Treatment",c-Met Second-Line Hepatocellular Carcinoma,0,4,2,0,,,2,,54,70
NCT02115542,Phase 2,05/06/2014,Actual,regorafenib,Multi Institutional Phase II Trial of Single Agent Regorafenib in Refractory Advanced Biliary Cancers,Single Agent Regorafenib in Refractory Advanced Biliary Cancers,0,1,1,0,4,,0,35,2,35
NCT02118337,Phase 1/Phase 2,19/05/2014,Actual,durvalumab,"A Phase 1/2, Open-label Study to Evaluate the Safety and Antitumor Activity of MEDI0680 (AMP-514) in Combination With Durvalumab Versus Nivolumab Monotherapy in Subjects With Select Advanced Malignancies","A Phase 1/2, Open-label Study to Evaluate the Safety and Antitumor Activity of MEDI0680 (AMP-514) in Combination With Durvalumab Versus Nivolumab Monotherapy in Participants With Select Advanced Malignancies",2,4,6,2,12,,0,178,24,160
NCT02119676,Phase 2,31/03/2014,Actual,regorafenib,"A Randomized, Double-Blind Study of Ruxolitinib or Placebo in Combination With Regorafenib in Subjects With Relapsed or Refractory Metastatic Colorectal Cancer",Study of Ruxolitinib in Colorectal Cancer Patients,0,42,54,2,,,70,,16,608
NCT02130466,Phase 1/Phase 2,29/05/2014,Actual,pembrolizumab,A Phase I/II Study to Assess the Safety and Efficacy of MK-3475 in Combination With Trametinib and Dabrafenib in Subjects With Advanced Melanoma,A Study of the Safety and Efficacy of Pembrolizumab (MK-3475) in Combination With Trametinib and Dabrafenib in Participants With Advanced Melanoma (MK-3475-022/KEYNOTE-022),0,10,0,0,6,,0,338,24,358
NCT02132598,Phase 2,31/12/2015,Actual,cabozantinib,A Single-Arm Phase II Clinical Trial of Cabozantinib (XL184) in Patients With Previously Treated Non-Small Cell Lung Cancer (NSCLC) With Brain Metastases With and Without C Met Amplification,Trial of Cabozantinib (XL184) in Non-Small Cell Lung Cancer With Brain Metastases,0,0,0,0,,,0,,0,5
NCT02132754,Phase 1,27/06/2014,Actual,pembrolizumab,Phase 1 Trial of Single Agent MK-4166 and MK-4166 in Combination With Pembrolizumab in Subjects With Advanced Malignancies,Study of MK-4166 and MK-4166 in Combination With Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-4166-001),0,0,0,0,0,,0,0,464,0
NCT02142738,Phase 3,25/08/2014,Actual,pembrolizumab,A Randomized Open-Label Phase III Trial of Pembrolizumab Versus Platinum Based Chemotherapy in 1L Subjects With PD-L1 Strong Metastatic Non-Small Cell Lung Cancer,Study of Pembrolizumab (MK-3475) Compared to Platinum-Based Chemotherapies in Participants With Metastatic Non-Small Cell Lung Cancer (MK-3475-024/KEYNOTE-024),2,92,8,2,12,,0,566,36,502
NCT02155647,Phase 2,03/07/2014,Actual,avelumab,"A Phase II, Open-Label, Multicenter Trial to Investigate the Clinical Activity and Safety of Avelumab (MSB0010718C) in Subjects With Merkel Cell Carcinoma",Avelumab in Participants With Merkel Cell Carcinoma (JAVELIN Merkel 200),0,12,4,0,66,,0,266,156,312
NCT02164240,Phase 1,31/07/2014,Actual,regorafenib,"A Non-randomized, Open-label Phase Ib Study of SUnitinib Alternating With REgorafenib in Patients With Metastatic and/or Unresectable Gastrointestinal Stromal Tumors (GIST) Progressing After Prior Therapy With Tyrosine Kinase Inhibitors",Phase Ib Study of SUnitinib Alternating With REgorafenib in Patients With Metastatic and/or Unresectable GIST,0,0,1,0,0,,0,13,0,12
NCT02180061,Phase 1,15/07/2014,Actual,pembrolizumab,Phase Ib Study of MK-3475 in Subjects With Advanced Melanoma,Study of Pembrolizumab (MK-3475) in Participants With Advanced Melanoma (MK-3475-041/KEYNOTE-041),0,84,0,0,0,,0,84,0,0
NCT02181738,Phase 2,12/08/2014,Actual,nivolumab,"Non-Comparative, Multi-Cohort, Single Arm, Open-Label, Phase 2 Study of Nivolumab (BMS-936558) in Classical Hodgkin Lymphoma (cHL) Subjects",Study of Nivolumab in Patients With Classical Hodgkin's Lymphoma (Registrational),,,,,10,,,378,200,
NCT02195011,Phase 2,31/07/2014,Actual,regorafenib,A Two Arm Safety Study of Regorafenib Before or After SIR-Spheres Microspheres (90Y) for the Treatment of Patients With Refractory Metastatic Colorectal Cancer With Liver Metastases,Safety Study of Regorafenib and SIR-Spheres�� Microspheres Radioembolization in Patients With Refractory Metastatic Colorectal Cancer With Liver Metastases,0,0,6,0,,,0,,0,46
